Pair,Beefy APY,Beefy TVL,Yearn APY,Yearn TVL,Yearn Address,OP Boost,OP boost/TVL
USDC-WUSDR,0.6453776803278135,1130197.65,0.6422532917070227,144909.30481504486,0x43360FDd9546e3e77ac2e6793f53219729743293,0,0.0
WETH-HOP,0.28977513140321864,2249.18,,,,0,0.0
JRT-WETH,0.1641396738181815,95.58,,,,0,0.0
WSTETH-PENDLE,0.025771428306900157,19641.44,,,,0,0.0
OVN-USD+,1.9834828219472915,480450.69,,,,0,0.0
V1-USDC,,,0.0,0.5251086300458321,0x161E7411A291ccaf377279fCe6a8C8D689dBeBe8,0,0.0
V1-USDCDOLA,,,0.0,3.120356917874183,0x22687Ca792A8Cb5E169a77E0949e71Fe37147604,0,0.0
RED-VELO,,,5.163248574210326,7741.213197540886,0xD7EE0E2d232BcBeFa74EF36A439d0De880c6ece5,0,0.0
USDC-MIM,,,0.023336249475405246,3057.5662988745535,0x950f384f566b82CCA6380f75AE42E2BBE9B357B2,0,0.0
USDC-BLU,,,5.030075536712043,9624.059666309682,0x83b8391B9efBc5B5A38777fB22A4968c622a405a,0,0.0
TAROT-USDC,,,1.8979374388729693,851.2751294737656,0x36bAF52bc8A2dB4450500c1a6c78f10F6d0E1C3B,0,0.0
TAROT-USDC,,,0.40849606496705704,135.45506873406663,0xC3566662862c26FF56e3E709dc021902cC68BecD,0,0.0
UNLOCK-VELO,,,2.5169955181115515,555.8609435871407,0xf5A8aF3C13C0f6c139F58aac8A549100484E0aaD,0,0.0
CHI-DAI,,,0.2876145531668388,155.51489211747,0xAa07Ca79490B3CDA1A25B8fCC69b76C09C6e7A4f,0,0.0
USDC-USX,,,0.08484465003479458,7.436275680393788,0x4e9C59F9b1b13bA7E1Ac4c09B64Df7Fdeff41b03,0,0.0
RED-OP,,,6.256547099243167,38568.01887248615,0xfA3C6122906f2A2d644409dBB507DB1060D10b3A,0,0.0
IB-WETH,,,0.03349006881799621,76440.37709538113,0x8e8D635E28BB8774FD23107cC1D9b6D30AD5D0B9,150,0.25510078234789707
MSETH-WETH,,,0.1823083092076594,583.2676109884386,0xd0d2Ac44Cc842079e978bB11b094764f7D0dec6A,0,0.0
LUSD-ERN,,,0.029018892949881137,450849.169877083,0x7bDEA31F968089f93A548ddec8BB74036E8ac6e0,150,0.04325171543582164
TAROT-OP,,,1.6846625820434271,652.7802578852318,0xdD76A3C91A358B1093de52Cb82af5EC3282f6f7F,0,0.0
TAROT-OP,,,0.41763583003494853,0.0,0x3BDe2aB72AfE70286fc944C07D98883E383DF239,0,0.0
DOLA-ERN,,,0.12166539376971719,477537.4880582359,0x50032bE2b2c7e8A6a6bc241e3aEbef21497A3cF0,1400,0.38112191095205705
QI-USDC,,,2901.727293877468,0.3147257081336491,0xD402F3c8A999BFE97F8644E80DbD57E2bA7704ae,0,0.0
USDC-PERP,,,0.2376545688346221,0.8543279335379963,0x6F4f01A02e6037AA98d22405fEA4DCAB98D2a8eE,0,0.0
STERN-ERN,,,0.14588448757692318,256913.58256837947,0xa7B550B3A80361d8e47E07616dC42f04c655881b,500,0.25300336148128627
